R,G,B
120.36930693068895,113.00544554455604,103.2881188118842
55.842220279716045,62.18953962703862,65.76821095571148
5.8251781853098255,18.44406182429692,28.858893248983993
221.98183319570205,181.7861271676321,143.06358381503216
149.593710157205,111.52517353731434,83.09913585494421
190.7685574704489,186.09105713124137,173.5683267743376
74.95276731382253,96.5262242828168,118.03853955375119
123.81290550902492,89.59679131768335,65.02264952223595
27.39792777561926,33.25417262756818,49.64616118263478
220.56981165439842,217.7879564948614,229.03934919093103
132.78084071349437,131.7228389671945,151.33179493576043
61.875007256892296,73.49619738751628,100.03866473148646
194.06705150975992,163.2460035524024,148.3816607460005
127.27633941498789,91.89406313351529,107.87251665220691
87.84476604898174,61.74918104923269,75.36390749522815
36.35786709461091,34.13604201619413,37.64315413232451
21.985525253149827,85.21053612474506,95.0065229545927
38.91391391391305,35.09944727336645,34.63720241981561
95.8863947046516,79.98805669473323,75.11454061443676
176.0825885281105,131.35128408190053,128.66444167892783
3.746280734512439,3.4961718020567716,3.846747587897866
19.7212905129564,33.07224708602687,48.962769881477726
222.69344688702196,212.56964255742642,210.51015271012113
135.97156052503232,107.64511424404238,85.18424890617432
188.10297716150956,168.10787112560388,156.47430668841847
251.64892815907058,244.29368944225786,222.6223957025293
197.07073954984133,147.11897106109336,85.5491961414809
217.672712368073,204.98217030432272,167.68162721590932
126.23991275899661,92.5752453653218,62.51581243184441
170.9067242162462,155.78555202181815,132.17001363017874
134.51894224840828,121.18490100705601,103.42981434541304
94.54315454676991,72.40812490963648,49.3076478242099
195.33454991761408,180.28739381800955,157.09302025125146
193.60751224824102,161.5827436037129,128.25666848121415
55.70933014354124,59.47009569377704,48.24497607655802
140.74662285505806,109.88389923329375,73.28696604600523
11.207932011328174,20.054690884852633,18.14320946508848
231.64604853766198,225.7298070939488,210.91487243308774
183.20090699068754,183.20920681096476,160.29451527336406
123.87770320656003,122.86676609495,96.98682575192863
21.818821647551438,37.145827779257885,35.80469208211454
13.05234585958206,15.836661791179502,18.33193631863278
188.82496782496247,192.93135993135354,185.96181896181037
133.2123401889887,99.24180100055082,95.04974986102687
38.12716810521452,37.9321824907494,47.046855733654844
223.08096789202364,220.35078331008114,227.5937645416354
233.91398929047966,171.85542168675556,150.91532797857155
156.66589069946548,163.21172818979022,181.8418135461592
88.46277915632835,75.24491315136615,83.75186104217997
44.929961718875596,32.21529088261835,47.100339677575676
168.39127316201103,128.74500896592437,141.8732815301778
216.97791519437854,197.20730270906566,206.71760895169768
119.62832907699737,69.10479751915038,85.42922291134465
17.504951101491322,17.99450785030302,20.426060148225528
212.76050576423063,160.413908516181,130.78690963183533
90.90622165790184,86.31253401052359,93.80736441138825
9.553508771929632,86.31666666666715,154.67017543859612
154.65254701479256,146.2640131458694,147.25853569471641
25.051766567054266,24.40055370012318,29.18008437335881
44.60752668716858,47.15661299077414,56.51727881309456
105.51623740200873,102.93169092944291,96.04129339305584
164.6858363253905,161.51962362263083,139.40095332425324
214.62079326925422,213.39182692307557,199.9079026442639
105.55177960988703,105.07309471144049,79.635230243313
29.37282864294506,39.8894030190384,34.87506637335555
29.514577039278112,34.86178247733582,45.42741691842561
183.85721840296475,151.55420412479583,138.65908690286983
84.57363981833691,97.31254055057994,112.05820743352662
193.04120005530547,198.3844877644351,208.14502972486787
238.24327531645753,229.04291930380816,216.4976265822606
4.511859125432231,4.270597158690478,3.772554888149031
119.99371248929727,142.36181766221523,145.76002667426707
78.39712208871134,84.62223705682109,82.30685358255528
235.5206963936813,167.05169657132382,112.70971753419914
102.63390501319293,58.19360158311399,55.707124010554615
236.8984518982739,235.07924806487938,236.19553999263434
206.60299367184052,183.553383092586,169.64720915133157
165.2054025140469,133.89475795667767,115.17290719443983
5.082121651927096,3.5466684259641,3.937168491915557
209.1908089792404,166.13242976140742,118.37258223917067
56.80202043004147,46.42445961962948,43.52265929228194
247.25367402702324,209.87194446498842,178.66331880956756
126.02476226343573,101.31635439224006,79.2028057621702
196.47806442211305,153.1656464072394,111.18051304473917
95.295339595374,64.35856213872897,49.24692919075025
229.9504408634995,199.01048951047903,163.1758893280637
156.79277471150476,102.22946981101128,69.32731225957863
2.7607254804245684,3.7689804512036034,6.758548082139754
231.7010028235089,222.4736637133119,211.67013922688514
137.97805840567744,112.31554853985982,95.16574585635327
40.54921422663796,36.462675765101324,38.447890818864195
196.18987179485123,179.80948717947342,159.31141025640736
234.76391907707904,173.0718943320401,152.15382043135253
99.84040531982416,79.9122862571251,85.33486383787356
159.28700486449088,166.56219596941122,185.5343988880969
223.73159791750265,221.17725270328503,228.42899479372926
7.431995180934523,16.541392366935213,30.638612796349822
188.03506962352145,140.49664775657047,111.69675090252468
113.09890883491657,79.85850052797892,66.20978528686898
35.173928077452274,43.76573305670611,62.58099930844418
115.80930232560958,98.9715292459392,83.92614517264319
28.577498535753715,36.424684521592326,30.661413130293543
167.30175957903504,140.2655813188535,119.32264430191357
77.61346213773712,67.97775007789937,55.1970707385478
5.1269117136471465,6.794555961117538,9.020333680859991
205.4946339136603,203.50512759360416,214.50234517844427
231.37079744375336,160.0282022784113,41.976382328422204
96.94040968342676,86.63186685288714,94.2069366852898
159.19983624174495,147.23744946523237,152.5361547515339
150.5908431404093,130.54296308238096,109.6554892793695
28.810574130270272,28.35795243606004,28.509008320397577
213.23688480257567,187.24319451954585,162.40598521721773
91.07971586425168,78.16473108580755,62.04690494982563
182.46874597241103,141.16922283798667,127.21123856167759
122.61340826977421,92.2420714572512,77.5329185066241
198.14191203197666,184.7137041075845,179.90672482731725
49.029124984171176,29.32683297454686,23.587058376599856
85.72786885245853,87.21136612021718,91.5296174863368
3.857010553534238,4.299913848844795,5.830088304960725
199.45306274899633,190.43401394423017,190.60358565738653
147.5011705033193,136.82813109636518,131.9879047990613
29.634272473892686,34.301017495549736,44.45726854494806
21.3337245844567,17.894437923587876,21.840937488172855
125.94095711622143,96.35456805468934,83.53418272219085
52.33400039239625,45.874396703937364,48.857406317450845
216.46685552409193,174.87252124645207,147.92577903683681
30.840538404423505,25.216559289154223,17.433765238428247
226.81023890784468,186.14812286689812,148.659385665532
59.55894169169224,49.08530891454021,34.922400376422345
161.5223675154834,110.38403303509867,72.33654507914572
130.58396775637817,103.109493954325,89.88893864755744
79.39485378440759,60.41635607799198,51.30963302751309
224.0584031542775,169.99014292756306,141.13652045341374
34.59037467963048,26.094300475977796,22.348643261056143
163.01681503460804,169.34129574677263,153.0733432245546
3.6441907257382837,5.214870619049677,3.9209676664132047
202.29836734692782,206.68008163264022,197.47110204084186
82.1190043604646,87.70857558139575,63.000908430231306
132.5611673975403,135.98805383334832,115.75570845304308
19.43126945158747,20.013396222768105,20.60105159382133
116.75675675675268,95.28791291291336,85.56231231231052
210.00557768924034,171.6334661354586,152.5418326693208
52.06781411359678,50.077796901893734,50.159896729774474
28.15749140241759,25.824771859524247,25.170326843401153
134.1870387453929,110.77544587947963,94.85862546125685
211.02429596907822,174.01490889011552,154.23081170624164
94.08022000829553,75.54825653799011,65.72831050228146
168.7848331095067,174.33651693777117,185.4735114162107
92.97393939393977,86.2239393939409,84.41878787878923
147.71357040669787,151.51583895361782,158.89454322501712
195.0254764682913,161.19642162582426,139.47141190198494
4.482190039848092,5.2377838723928605,7.431118097589668
168.806311044319,145.7597295266681,124.70067618330924
109.93556836040077,75.42622664571613,48.71730399860359
100.39874359398848,107.02727723590039,117.69499090756844
193.92435844371266,201.162044701956,207.1092715231882
37.62157401170543,53.15880006217323,64.76483083777481
164.276824583885,129.58143405889754,98.95070422534465
95.28898414752004,96.47743448721582,91.72031704949423
200.71388206389366,183.49643734644906,159.04164619166204
184.6902203856901,125.075619834708,98.15785123967802
73.60241755353432,61.174418604649105,55.950466430170614
112.85315515962489,95.9833704528626,88.80571640684497
36.40683578103709,26.89644859813373,21.997436582106666
47.31049626701615,57.779973649537745,68.791611769874
164.86519733470533,136.45156330087016,133.20399794977075
12.389153784803021,26.90606281709763,33.66470398588314
216.37062937061657,195.55702917773536,197.53387991319204
201.2443703764148,192.96500284526903,188.12681895780395
99.48430338146554,80.46372048775726,62.12825391332866
167.1163426299695,144.31865333250835,126.08267594260704
233.44537170267677,233.3060911270627,233.39937649881998
100.92141665848925,36.158343961543096,29.973707446286138
40.99132157988217,51.74497744976702,68.96870302036126
160.60108520900133,102.68006430867251,90.34827170417775
75.90900045228216,95.91777476253974,126.83021257352283
234.4527434645271,203.90117782244093,186.5494110887828
112.6620951269312,92.1225561715801,91.85001459002177
189.80983809427653,160.52119212125433,143.44477673504824
24.5099290780081,33.912411347519324,51.3091016548455
35.053210010890595,46.896517954297224,54.677312295972385
210.21675155628068,219.00433880402232,209.43425768721593
147.32881880624294,155.0727483795974,144.80458546966017
77.98870289437505,93.51595613095098,97.38385420960489
105.70689199894767,85.37311856351266,79.4059941906464
7.764519489495136,5.829520791693042,5.567649101520658
223.2625659050797,208.69009958990725,199.17141183363628
37.29778259355789,29.546689369613418,29.183506830222896
174.01386071671112,145.54918864098195,132.23089925624487
9.15780095036953,36.972214889123755,32.10982048574491
17.99643507882351,117.05276083337785,96.9557949774393
15.894743484570258,78.32801161101438,64.91386382281625
199.40538075696307,164.57546739626028,146.40994072047164
194.27788649707244,155.12426614481538,146.00929549901795
50.83033903216425,43.33975659229115,48.40408577223701
